
Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 22.469661 1893.996872
0 0 1 23.797706 637.814653
0 1 1 27.168212 58201.876880
1 1 2 37.959486 44573.985452
1 2 2 44.559032 11229.330495
2 2 2 45.866851 10759.731131
0 1 2 46.027304 8382.075959
0 0 2 48.707502 44104.722438
0 2 2 56.035485 35557.530140
2 2 3 59.330839 16897.328980
1 1 3 61.134092 9167.973112
1 2 3 62.188666 52918.290173
2 3 3 67.446242 17659.444060
0 1 3 70.797199 59847.825991
3 3 3 71.534212 7222.621037
1 3 3 73.721084 14323.604186
0 2 3 75.345197 15601.899859
0 0 3 76.421202 2931.605490
2 2 4 81.153747 15212.644687
2 3 4 85.010579 37605.894197
3 3 4 85.418433 8696.947300
1 2 4 87.102638 24952.195439
0 3 3 89.597291 39470.655392
1 3 4 94.357704 26811.568545
3 4 4 95.581622 22021.535904
2 4 4 98.620453 7710.116280
0 1 4 101.919560 12131.234881
4 4 4 102.397187 1102.413202
0 2 4 102.869900 35181.719612
3 3 5 109.088620 19765.675417
0 0 4 111.123953 20647.164491
1 4 4 111.873664 29990.167060
2 3 5 112.312304 13884.867014
0 3 4 114.141161 19996.794791
3 4 5 116.388406 5977.765254
4 4 5 120.142972 21417.080176
1 2 5 122.378916 21821.528575
2 4 5 123.834559 35931.326873
1 3 5 127.036797 27316.806321
1 1 5 129.698872 9121.853748
4 5 5 136.879130 557.109937
3 5 5 137.048101 19614.677870
0 4 4 139.932140 10005.348482
1 4 5 147.054464 11632.431691
0 2 5 150.287015 16791.430871
5 5 5 153.889773 6591.029469
2 5 5 154.687193 5033.046852
0 1 5 155.788472 26797.848434
4 4 6 163.674418 514.264078
3 4 6 164.089803 36214.555807
0 3 5 174.296293 18491.354746

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 22.469661 1893.996872
0 0 1 23.797706 637.814653
0 1 1 27.168212 58201.876880
1 1 2 37.959486 44573.985452
1 2 2 44.559032 11229.330495
2 2 2 45.866851 10759.731131
0 1 2 46.027304 8382.075959
0 0 2 48.707502 44104.722438
0 2 2 56.035485 35557.530140
2 2 3 59.330839 16897.328980
1 1 3 61.134092 9167.973112
1 2 3 62.188666 52918.290173
2 3 3 67.446242 17659.444060
0 1 3 70.797199 59847.825991
3 3 3 71.534212 7222.621037
1 3 3 73.721084 14323.604186
0 2 3 75.345197 15601.899859
0 0 3 76.421202 2931.605490
2 2 4 81.153747 15212.644687
2 3 4 85.010579 37605.894197
3 3 4 85.418433 8696.947300
1 2 4 87.102638 24952.195439
0 3 3 89.597291 39470.655392
1 3 4 94.357704 26811.568545
3 4 4 95.581622 22021.535904
2 4 4 98.620453 7710.116280
0 1 4 101.919560 12131.234881
4 4 4 102.397187 1102.413202
0 2 4 102.869900 35181.719612
3 3 5 109.088620 19765.675417
0 0 4 111.123953 20647.164491
1 4 4 111.873664 29990.167060
2 3 5 112.312304 13884.867014
0 3 4 114.141161 19996.794791
3 4 5 116.388406 5977.765254
4 4 5 120.142972 21417.080176
1 2 5 122.378916 21821.528575
2 4 5 123.834559 35931.326873
1 3 5 127.036797 27316.806321
1 1 5 129.698872 9121.853748
4 5 5 136.879130 557.109937
3 5 5 137.048101 19614.677870
0 4 4 139.932140 10005.348482
1 4 5 147.054464 11632.431691
0 2 5 150.287015 16791.430871
5 5 5 153.889773 6591.029469
2 5 5 154.687193 5033.046852
0 1 5 155.788472 26797.848434
4 4 6 163.674418 514.264078
3 4 6 164.089803 36214.555807
0 3 5 174.296293 18491.354746

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 22.469661 1893.996872
0 0 1 23.797706 212.604884
0 1 1 27.168212 19400.625627
1 1 2 37.959486 14857.995151
1 2 2 44.559032 3743.110165
2 2 2 45.866851 10759.731131
0 1 2 46.027304 1397.012660
0 0 2 48.707502 14701.574146
0 2 2 56.035485 11852.510047
2 2 3 59.330839 5632.442993
1 1 3 61.134092 3055.991037
1 2 3 62.188666 8819.715029
2 3 3 67.446242 5886.481353
0 1 3 70.797199 9974.637665
3 3 3 71.534212 7222.621037
1 3 3 73.721084 4774.534729
0 2 3 75.345197 2600.316643
0 0 3 76.421202 977.201830
2 2 4 81.153747 5070.881562
2 3 4 85.010579 6267.649033
3 3 4 85.418433 2898.982433
1 2 4 87.102638 4158.699240
0 3 3 89.597291 6578.442565
1 3 4 94.357704 4468.594758
3 4 4 95.581622 7340.511968
2 4 4 98.620453 2570.038760
0 1 4 101.919560 2021.872480
4 4 4 102.397187 1102.413202
0 2 4 102.869900 5863.619935
3 3 5 109.088620 6588.558472
0 0 4 111.123953 6882.388164
1 4 4 111.873664 4998.361177
2 3 5 112.312304 2314.144502
0 3 4 114.141161 3332.799132
3 4 5 116.388406 996.294209
4 4 5 120.142972 7139.026725
1 2 5 122.378916 3636.921429
2 4 5 123.834559 5988.554479
1 3 5 127.036797 4552.801054
1 1 5 129.698872 3040.617916
4 5 5 136.879130 185.703312
3 5 5 137.048101 6538.225957
0 4 4 139.932140 3335.116161
1 4 5 147.054464 1938.738615
0 2 5 150.287015 2798.571812
5 5 5 153.889773 6591.029469
2 5 5 154.687193 838.841142
0 1 5 155.788472 4466.308072
4 4 6 163.674418 171.421359
3 4 6 164.089803 6035.759301
0 3 5 174.296293 3081.892458

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 22.469661 1893.996872
0 0 1 23.797706 212.604884
0 1 1 27.168212 19400.625627
1 1 2 37.959486 14857.995151
1 2 2 44.559032 3743.110165
2 2 2 45.866851 10759.731131
0 1 2 46.027304 1397.012660
0 0 2 48.707502 14701.574146
0 2 2 56.035485 11852.510047
2 2 3 59.330839 5632.442993
1 1 3 61.134092 3055.991037
1 2 3 62.188666 8819.715029
2 3 3 67.446242 5886.481353
0 1 3 70.797199 9974.637665
3 3 3 71.534212 7222.621037
1 3 3 73.721084 4774.534729
0 2 3 75.345197 2600.316643
0 0 3 76.421202 977.201830
2 2 4 81.153747 5070.881562
2 3 4 85.010579 6267.649033
3 3 4 85.418433 2898.982433
1 2 4 87.102638 4158.699240
0 3 3 89.597291 6578.442565
1 3 4 94.357704 4468.594758
3 4 4 95.581622 7340.511968
2 4 4 98.620453 2570.038760
0 1 4 101.919560 2021.872480
4 4 4 102.397187 1102.413202
0 2 4 102.869900 5863.619935
3 3 5 109.088620 6588.558472
0 0 4 111.123953 6882.388164
1 4 4 111.873664 4998.361177
2 3 5 112.312304 2314.144502
0 3 4 114.141161 3332.799132
3 4 5 116.388406 996.294209
4 4 5 120.142972 7139.026725
1 2 5 122.378916 3636.921429
2 4 5 123.834559 5988.554479
1 3 5 127.036797 4552.801054
1 1 5 129.698872 3040.617916
4 5 5 136.879130 185.703312
3 5 5 137.048101 6538.225957
0 4 4 139.932140 3335.116161
1 4 5 147.054464 1938.738615
0 2 5 150.287015 2798.571812
5 5 5 153.889773 6591.029469
2 5 5 154.687193 838.841142
0 1 5 155.788472 4466.308072
4 4 6 163.674418 171.421359
3 4 6 164.089803 6035.759301
0 3 5 174.296293 3081.892458

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 22.469661 798483.579521
0 0 1 23.797706 60026.703512
0 1 1 27.168212 8443791.373768
1 1 2 37.959486 6752866.563673
1 2 2 44.559032 1253759.065380
2 2 2 45.866851 1137673.021389
0 1 2 46.027304 440240.509495
0 0 2 48.707502 1041971.603030
0 2 2 56.035485 1299160.458162
2 2 3 59.330839 1114589.475971
1 1 3 61.134092 573555.521450
1 2 3 62.188666 3212737.862589
2 3 3 67.446242 932307.950816
0 1 3 70.797199 1456795.515696
3 3 3 71.534212 345679.986013
1 3 3 73.721084 652786.438495
0 2 3 75.345197 343350.442431
0 0 3 76.421202 31543.903591
2 2 4 81.153747 597169.966302
2 3 4 85.010579 1379749.482225
3 3 4 85.418433 316936.806330
1 2 4 87.102638 884932.683124
0 3 3 89.597291 336898.613968
1 3 4 94.357704 857554.469115
3 4 4 95.581622 693695.250337
2 4 4 98.620453 234495.300924
0 1 4 101.919560 178368.697984
4 4 4 102.397187 32272.865538
0 2 4 102.869900 512733.597817
3 3 5 109.088620 549075.545453
0 0 4 111.123953 141685.231277
1 4 4 111.873664 409986.040491
2 3 5 112.312304 378807.059836
0 3 4 114.141161 270582.411282
3 4 5 116.388406 160532.815115
4 4 5 120.142972 571042.971648
1 2 5 122.378916 581401.880470
2 4 5 123.834559 958306.541272
