
Start of a new data set 
The energy is15000
 h k l 2theta Intensity
0 0 2 14.181475 299.560897
0 1 0 22.408363 19.482860
0 1 1 23.527074 53.697059
0 1 2 26.617810 14.343912
0 0 4 28.586176 100.818911
0 1 3 31.138393 32.448505
0 1 4 36.621965 8.261161
1 1 0 39.333369 59.475219
1 1 2 42.012758 54.423779
0 1 5 42.775594 19.948901
0 0 6 43.471099 52.147845
0 2 0 45.736309 6.140825
0 2 1 46.342753 18.152647
0 2 2 48.126655 5.809036
1 1 4 49.339949 45.291047
0 1 6 49.442420 5.649462
0 2 3 50.994722 16.434906
0 2 4 54.826098 5.117369
0 1 7 56.552897 14.929684
0 0 8 59.176590 38.254186
0 2 5 59.503188 14.276674
1 1 6 60.053396 37.767571
1 2 0 61.872657 4.600411
1 2 1 62.366510 13.706634
1 2 2 63.835016 4.477764
0 1 8 64.094752 4.462033
0 2 6 64.932664 4.412016
1 2 3 66.242708 13.007686
1 2 4 69.541353 4.153910
0 2 7 71.056350 12.222906
0 3 0 71.312060 64.977350
0 1 9 72.099569 12.062263
0 3 2 73.145743 63.488346
1 1 8 73.389441 31.646967
1 2 5 73.682394 11.823987
0 2 8 77.856821 3.741252
0 3 4 78.550039 59.347679
1 2 6 78.629401 3.705585
1 2 7 84.369695 10.357697
2 2 0 84.612863 27.538344
0 2 9 85.363438 10.232415
2 2 2 86.364469 26.954601
0 3 6 87.355715 53.261205
1 3 0 88.947119 3.264989
1 3 1 89.383694 9.743191
1 3 2 90.693307 3.196609
1 2 8 90.926709 3.187600
2 2 4 91.605452 25.292614
1 3 3 92.877138 9.340557
1 3 4 95.942270 3.001412
1 2 9 98.377459 8.748223
0 3 8 99.624632 45.978242
1 3 5 99.909706 8.592183
2 2 6 100.392692 22.783471
0 4 0 102.014170 2.794728
0 4 1 102.460849 8.340973
0 4 2 103.805636 2.737616
1 3 6 104.827116 2.705832
0 4 3 106.064733 8.004234
0 4 4 109.272123 2.574060
1 3 7 110.790277 7.594388
2 2 8 113.186256 19.733537
0 4 5 113.492235 7.375906
2 3 0 115.765086 2.400294
2 3 1 116.250802 7.164504
2 3 2 117.720434 2.352204
1 3 8 117.984392 2.345859
0 4 6 118.844367 2.325429
2 3 3 120.215386 6.880852
2 3 4 123.819883 2.214354
0 4 7 125.554502 6.535272
1 4 0 125.852570 34.758279
1 3 9 126.780527 6.461640
1 4 2 128.037492 34.071033
2 3 5 128.693460 6.350917
0 4 8 134.087796 2.021759
1 4 4 135.040234 32.100342
2 3 6 135.150434 2.004504
2 3 7 143.901559 5.640866
0 4 9 145.616912 5.578620
1 4 6 149.314348 29.098427
0 5 1 153.554559 5.334076
0 5 3 163.000953 5.131393
0 5 5 180.000000 2.376099
0 5 7 180.000000 2.121489
0 5 9 180.000000 1.830349
0 6 0 180.000000 8.607727
0 6 2 180.000000 8.456768
0 6 4 180.000000 8.022885
0 6 6 180.000000 7.358856
0 6 8 180.000000 6.539985
0 9 0 180.000000 1.911491
0 9 2 180.000000 1.894172
0 9 4 180.000000 1.843969
0 9 6 180.000000 1.765810
0 9 8 180.000000 1.666916
1 4 8 180.000000 12.711488
1 5 1 180.000000 2.011259
1 5 3 180.000000 1.938353
1 5 5 180.000000 1.801769
1 5 7 180.000000 1.617921
1 5 9 180.000000 1.406983
1 6 1 180.000000 1.194335
1 6 3 180.000000 1.155773
1 6 5 180.000000 1.083307
1 7 0 180.000000 3.777267
1 7 2 180.000000 3.725548
1 7 4 180.000000 3.576319
1 7 6 180.000000 3.346132
1 7 8 180.000000 3.058863
2 3 9 180.000000 2.415742
2 4 1 180.000000 2.312172
2 4 3 180.000000 2.226289
2 4 5 180.000000 2.065505
2 4 7 180.000000 1.849342
2 4 9 180.000000 1.601754
2 5 0 180.000000 7.559376
2 5 2 180.000000 7.430627
2 5 4 180.000000 7.060388
2 5 6 180.000000 6.493171
2 5 8 180.000000 5.792569
2 8 0 180.000000 1.789591
2 8 2 180.000000 1.774340
2 8 4 180.000000 1.730107
2 8 6 180.000000 1.661169
