
Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 26.247627 76.478687
0 0 1 42.829738 29.078293
0 1 1 45.652572 26.122357
2 2 2 54.015651 26.118537
1 1 2 55.838403 18.518531
1 2 2 62.714803 15.314244
2 2 3 79.428478 11.019386
0 1 2 82.449957 84.443488
3 3 3 85.870008 13.468759
2 3 3 89.334520 9.705671
0 0 2 93.812495 9.270978
1 2 3 100.249487 70.109302
0 2 2 101.769216 8.660118
1 1 3 107.883287 8.293143
3 3 4 113.629526 8.007410
1 3 3 125.593886 7.546091
3 4 4 129.896946 7.414358
4 4 4 130.522230 9.861980
2 3 4 133.906171 58.439855
2 2 4 138.927989 7.184409
0 1 3 165.805543 13.595870
