
Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 23.769855 64771.916281
0 0 2 27.514269 103.125447
0 2 2 39.304396 301876.694110
1 1 3 46.451886 133459.807297
2 2 2 48.647679 31.031745
0 0 4 56.798630 232250.252297
1 3 3 62.434968 108821.326503
0 2 4 64.247851 215.629044
2 2 4 71.253910 190310.193504
1 1 5 76.317187 119917.208481
0 4 4 84.539099 161731.325573
1 3 5 89.407648 150891.877910
0 0 6 91.027811 206.040847
0 2 6 97.529805 282165.145990
3 3 5 102.466577 68591.656703
2 2 6 104.131378 91.084575
4 4 4 110.931424 41876.104218
1 1 7 116.236570 120900.583619
0 4 6 118.057311 157.091601
2 4 6 125.694178 227502.231108
1 3 7 131.934980 166188.797297
0 0 8 144.063417 104408.585296
3 3 7 153.443666 49650.430288
0 2 8 157.334646 174.690178

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 23.769855 64771.916281
0 0 2 27.514269 103.125447
0 2 2 39.304396 301876.694110
1 1 3 46.451886 133459.807297
2 2 2 48.647679 31.031745
0 0 4 56.798630 232250.252297
1 3 3 62.434968 108821.326503
0 2 4 64.247851 215.629044
2 2 4 71.253910 190310.193504
1 1 5 76.317187 119917.208481
0 4 4 84.539099 161731.325573
1 3 5 89.407648 150891.877910
0 0 6 91.027811 206.040847
0 2 6 97.529805 282165.145990
3 3 5 102.466577 68591.656703
2 2 6 104.131378 91.084575
4 4 4 110.931424 41876.104218
1 1 7 116.236570 120900.583619
0 4 6 118.057311 157.091601
2 4 6 125.694178 227502.231108
1 3 7 131.934980 166188.797297
0 0 8 144.063417 104408.585296
3 3 7 153.443666 49650.430288
0 2 8 157.334646 174.690178

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 23.769855 64771.916281
0 0 2 27.514269 103.125447
0 2 2 39.304396 301876.694110
1 1 3 46.451886 133459.807297
2 2 2 48.647679 31.031745
0 0 4 56.798630 232250.252297
1 3 3 62.434968 108821.326503
0 2 4 64.247851 215.629044
2 2 4 71.253910 190310.193504
1 1 5 76.317187 119917.208481
0 4 4 84.539099 161731.325573
1 3 5 89.407648 150891.877910
0 0 6 91.027811 206.040847
0 2 6 97.529805 282165.145990
3 3 5 102.466577 68591.656703
2 2 6 104.131378 91.084575
4 4 4 110.931424 41876.104218
1 1 7 116.236570 120900.583619
0 4 6 118.057311 157.091601
2 4 6 125.694178 227502.231108
1 3 7 131.934980 166188.797297
0 0 8 144.063417 104408.585296
3 3 7 153.443666 49650.430288
0 2 8 157.334646 174.690178

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 23.769855 64771.916281
0 0 2 27.514269 103.125447
0 2 2 39.304396 301876.694110
1 1 3 46.451886 133459.807297
2 2 2 48.647679 31.031745
0 0 4 56.798630 232250.252297
1 3 3 62.434968 108821.326503
0 2 4 64.247851 215.629044
2 2 4 71.253910 190310.193504
1 1 5 76.317187 119917.208481
0 4 4 84.539099 161731.325573
1 3 5 89.407648 150891.877910
0 0 6 91.027811 206.040847
0 2 6 97.529805 282165.145990
3 3 5 102.466577 68591.656703
2 2 6 104.131378 91.084575
4 4 4 110.931424 41876.104218
1 1 7 116.236570 120900.583619
0 4 6 118.057311 157.091601
2 4 6 125.694178 227502.231108
1 3 7 131.934980 166188.797297
0 0 8 144.063417 104408.585296
3 3 7 153.443666 49650.430288
0 2 8 157.334646 174.690178

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 23.769855 64771.916281
0 0 2 27.514269 103.125447
0 2 2 39.304396 301876.694110
1 1 3 46.451886 133459.807297
2 2 2 48.647679 31.031745
0 0 4 56.798630 232250.252297
1 3 3 62.434968 108821.326503
0 2 4 64.247851 215.629044
2 2 4 71.253910 190310.193504
1 1 5 76.317187 119917.208481
0 4 4 84.539099 161731.325573
1 3 5 89.407648 150891.877910
0 0 6 91.027811 206.040847
0 2 6 97.529805 282165.145990
3 3 5 102.466577 68591.656703
2 2 6 104.131378 91.084575
4 4 4 110.931424 41876.104218
1 1 7 116.236570 120900.583619
0 4 6 118.057311 157.091601
2 4 6 125.694178 227502.231108
1 3 7 131.934980 166188.797297
0 0 8 144.063417 104408.585296
3 3 7 153.443666 49650.430288
0 2 8 157.334646 174.690178

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 23.769855 64771.916281
0 0 2 27.514269 103.125447
0 2 2 39.304396 301876.694110
1 1 3 46.451886 133459.807297
2 2 2 48.647679 31.031745
0 0 4 56.798630 232250.252297
1 3 3 62.434968 108821.326503
0 2 4 64.247851 215.629044
2 2 4 71.253910 190310.193504
1 1 5 76.317187 119917.208481
0 4 4 84.539099 161731.325573
1 3 5 89.407648 150891.877910
0 0 6 91.027811 206.040847
0 2 6 97.529805 282165.145990
3 3 5 102.466577 68591.656703
2 2 6 104.131378 91.084575
4 4 4 110.931424 41876.104218
1 1 7 116.236570 120900.583619
0 4 6 118.057311 157.091601
2 4 6 125.694178 227502.231108
1 3 7 131.934980 166188.797297
0 0 8 144.063417 104408.585296
3 3 7 153.443666 49650.430288
0 2 8 157.334646 174.690178
