
Start of a new data set 
The energy is8047
 h k l 2theta Intensity
1 1 1 27.368938 364.274706
0 0 2 31.706336 22955.298729
0 2 2 45.452045 16883.800684
1 1 3 53.873448 432.355598
2 2 2 56.477873 4490.711345
0 0 4 66.233393 11286.890489
1 3 3 73.077572 422.007064
0 2 4 75.299584 19527.190614
2 2 4 84.000606 8632.841334
1 1 5 90.424984 648.705467
0 4 4 101.184914 7039.346118
1 3 5 107.813000 1087.037225
0 0 6 110.073363 12893.068520
0 2 6 119.503063 11885.065944
3 3 5 127.186063 575.505297
2 2 6 129.919978 5506.922389
4 4 4 142.275699 1708.533796
1 1 7 154.541831 1167.418180
0 4 6 160.087039 9576.891251

Start of a new data set 
The energy is8048.3
 h k l 2theta Intensity
-1 -1 -1 27.364431 104214.336818
-2 0 0 31.701080 1231772.641075
-2 -2 0 45.444293 908252.739115
-3 -1 -1 53.864043 33941.990500
-2 -2 -2 56.467933 323630.244370
-4 0 0 66.221320 153679.749519
-3 -3 -1 73.063857 19512.276536
-4 -2 0 75.285305 430271.558132
-4 -2 -2 83.983941 322275.901176
-5 -1 -1 90.406338 21888.308152
-4 -4 0 101.162389 104260.247166
-5 -3 -1 107.787615 30458.419359
-6 0 0 110.046897 222536.018652
-6 -2 0 119.471330 158561.130991
-5 -3 -3 127.148799 15455.022077
-6 -2 -2 129.880371 149488.500442
-4 -4 -4 142.221559 52105.082716
-7 -1 -1 154.460021 46592.131167
-6 -4 0 159.981874 234133.153363

Start of a new data set 
The energy is8048.3
 h k l 2theta Intensity
-1 -1 -1 27.364431 104214.336818
-2 0 0 31.701080 1231772.641075
-2 -2 0 45.444293 908252.739115
-3 -1 -1 53.864043 33941.990500
-2 -2 -2 56.467933 323630.244370
-4 0 0 66.221320 153679.749519
-3 -3 -1 73.063857 19512.276536
-4 -2 0 75.285305 430271.558132
-4 -2 -2 83.983941 322275.901176
-5 -1 -1 90.406338 21888.308152
-4 -4 0 101.162389 104260.247166
-5 -3 -1 107.787615 30458.419359
-6 0 0 110.046897 222536.018652
-6 -2 0 119.471330 158561.130991
-5 -3 -3 127.148799 15455.022077
-6 -2 -2 129.880371 149488.500442
-4 -4 -4 142.221559 52105.082716
-7 -1 -1 154.460021 46592.131167
-6 -4 0 159.981874 234133.153363

Start of a new data set 
The energy is8048.3
 h k l 2theta Intensity
-1 -1 -1 27.364431 95887.739518
-2 0 0 31.701080 1102839.010209
-2 -2 0 45.444293 732297.156092
-3 -1 -1 53.864043 25486.962809
-2 -2 -2 56.467933 237802.894916
-4 0 0 66.221320 104997.559221
-3 -3 -1 73.063857 12863.022158
-4 -2 0 75.285305 281519.007842
-4 -2 -2 83.983941 209878.382249
-5 -1 -1 90.406338 14627.518240
