
Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 1 5.839199 1569.200825
0 0 3 17.578884 273.667960
0 0 5 29.508405 616.959463
0 1 1 34.096922 442.576278
0 0 6 35.589427 1034.357807
0 1 2 35.656683 989.158927
0 1 3 38.132847 656.338989
1 0 4 41.387050 349.525861
0 0 7 41.775963 346.050022
0 1 5 45.286468 288.556903
0 0 9 54.569263 50.208596
0 1 7 54.617325 521.373658
0 1 8 59.920263 1005.269103
1 1 0 60.010761 1004.001581
1 1 1 60.353414 440.949732
1 1 3 63.054718 96.843112
0 1 9 65.606729 638.195768
1 1 5 68.276933 298.699384
0 2 1 70.856951 257.849235
1 1 6 71.757137 577.431496
2 0 2 71.798378 553.706058
0 2 3 73.356343 403.230643
0 2 4 75.516697 273.728831
1 1 7 75.783125 217.289176
0 2 5 78.264153 200.055045
1 1 9 85.436972 36.155483
0 2 7 85.476268 343.126969
2 0 8 89.940293 679.589650
0 2 9 95.000543 448.431342
1 2 1 99.917785 185.693310
1 2 2 100.824472 397.735015
1 2 3 102.341861 291.750833
2 1 4 104.481347 198.879340
1 2 5 107.263270 145.162811
1 2 7 114.916099 254.073627
1 2 8 119.941835 510.195037
0 3 0 120.032290 1019.862830
0 3 1 120.376280 449.824317
0 3 3 123.174170 101.084187
1 2 9 125.967612 336.734327
0 3 5 129.065214 321.627959
0 3 6 133.415167 629.229488
0 3 7 139.001995 238.195125
0 3 9 157.038855 19.519098
